Month,Videos,Total Views,Avg Views/Video,MoM Change %
2022-06,5,520005,104001,—
2022-07,3,55991,18664,-89.2
2022-09,2,1233176,616588,2102.5
2022-10,1,12284,12284,-99.0
2022-11,2,309008,154504,2415.5
2022-12,6,1020693,170116,230.3
2023-01,6,867853,144642,-15.0
2023-02,8,3498313,437289,303.1
2023-03,5,2181897,436379,-37.6
2023-04,4,584266,146067,-73.2
2023-05,4,2687375,671844,360.0
2023-06,8,5494282,686785,104.4
2023-07,5,3183184,636637,-42.1
2023-08,2,1719946,859973,-46.0
2023-09,4,3622404,905601,110.6
2023-10,3,1219853,406618,-66.3
2023-11,3,1252304,417435,2.7
2023-12,13,10768782,828368,759.9
2024-01,10,2734666,273467,-74.6
2024-02,7,2905954,415136,6.3
2024-03,5,2590771,518154,-10.8
2024-04,4,1862061,465515,-28.1
2024-05,5,2781288,556258,49.4
2024-06,8,13366673,1670834,380.6
2024-07,5,1808475,361695,-86.5
2024-08,8,9144476,1143060,405.6
2024-09,4,5567609,1391902,-39.1
2024-10,5,2495563,499113,-55.2
2024-11,4,8358278,2089570,234.9
2024-12,4,5092007,1273002,-39.1
2025-01,5,1914867,382973,-62.4
2025-02,4,898502,224626,-53.1
2025-03,3,829530,276510,-7.7
2025-04,3,358468,119489,-56.8
2025-05,1,109875,109875,-69.3
2025-06,2,83414,41707,-24.1
2025-07,2,510795,255398,512.4
2025-08,3,567781,189260,11.2
2025-09,8,300426,37553,-47.1
2025-10,6,379828,63305,26.4
2025-11,15,1820333,121356,379.3
2025-12,13,1152615,88663,-36.7
2026-01,18,629421,34968,-45.4
2026-02,3,64665,21555,-89.7
